id_claim,seccion,texto_claim,valor,unidad,fuente_csv,filtro_o_fila
sso_off_trueno_hecho_de_agua,alineacion_registro,Solape espectral (SSO) de trueno_hecho_de_agua SIN alinear registro.,0.369222,"sso (0-1, Bhattacharyya)",resumen.csv,pareja == 'trueno_hecho_de_agua' and align == False
sso_on_trueno_hecho_de_agua,alineacion_registro,Solape espectral (SSO) de trueno_hecho_de_agua alineando registro.,0.743855,"sso (0-1, Bhattacharyya)",resumen.csv,pareja == 'trueno_hecho_de_agua' and align == True
sso_off_fuego_hecho_de_vidrio,alineacion_registro,Solape espectral (SSO) de fuego_hecho_de_vidrio SIN alinear registro.,0.746012,"sso (0-1, Bhattacharyya)",resumen.csv,pareja == 'fuego_hecho_de_vidrio' and align == False
sso_on_fuego_hecho_de_vidrio,alineacion_registro,Solape espectral (SSO) de fuego_hecho_de_vidrio alineando registro.,0.792658,"sso (0-1, Bhattacharyya)",resumen.csv,pareja == 'fuego_hecho_de_vidrio' and align == True
sso_off_canica_hecha_de_fuego,alineacion_registro,Solape espectral (SSO) de canica_hecha_de_fuego SIN alinear registro.,0.847642,"sso (0-1, Bhattacharyya)",resumen.csv,pareja == 'canica_hecha_de_fuego' and align == False
sso_on_canica_hecha_de_fuego,alineacion_registro,Solape espectral (SSO) de canica_hecha_de_fuego alineando registro.,0.850496,"sso (0-1, Bhattacharyya)",resumen.csv,pareja == 'canica_hecha_de_fuego' and align == True
sso_off_trueno_hecho_de_canica,alineacion_registro,Solape espectral (SSO) de trueno_hecho_de_canica SIN alinear registro.,0.084442,"sso (0-1, Bhattacharyya)",resumen.csv,pareja == 'trueno_hecho_de_canica' and align == False
sso_on_trueno_hecho_de_canica,alineacion_registro,Solape espectral (SSO) de trueno_hecho_de_canica alineando registro.,0.376244,"sso (0-1, Bhattacharyya)",resumen.csv,pareja == 'trueno_hecho_de_canica' and align == True
sso_off_oceano_hecho_de_campana,alineacion_registro,Solape espectral (SSO) de oceano_hecho_de_campana SIN alinear registro.,0.709075,"sso (0-1, Bhattacharyya)",resumen.csv,pareja == 'oceano_hecho_de_campana' and align == False
sso_on_oceano_hecho_de_campana,alineacion_registro,Solape espectral (SSO) de oceano_hecho_de_campana alineando registro.,0.54929,"sso (0-1, Bhattacharyya)",resumen.csv,pareja == 'oceano_hecho_de_campana' and align == True
sso_off_goteo_hecho_de_campana,alineacion_registro,Solape espectral (SSO) de goteo_hecho_de_campana SIN alinear registro.,0.650676,"sso (0-1, Bhattacharyya)",resumen.csv,pareja == 'goteo_hecho_de_campana' and align == False
sso_on_goteo_hecho_de_campana,alineacion_registro,Solape espectral (SSO) de goteo_hecho_de_campana alineando registro.,0.82002,"sso (0-1, Bhattacharyya)",resumen.csv,pareja == 'goteo_hecho_de_campana' and align == True
corr_fci_crest_global,metrica_fci,"Correlacion de Pearson entre FCI y crest_db sobre los 1065 candidatos con FCI definido (6 parejas): el FCI premia la cresta alta, el sintoma medido del defecto de 'dos capas'.",0.421642,r de Pearson,resumen.csv,fci.notna()
orphan_bands_trueno_nb6_docstring,bandas_huerfanas,"Verificacion del docstring de blend.py:903-905 ('A esta a -56,-85,-94.6 dB en 3 de las 6 bandas', trueno como padre A -- la cuenta no depende del padre B, asi que aplica igual a trueno_hecho_de_agua y trueno_hecho_de_canica): valor medido de nuevo con _band_rms_db, 3 de 6 bandas huerfanas.",-56.34;-85.03;-94.64,dB rel. al pico de la banda mas fuerte (por banda huerfana),bandas_huerfanas.csv,pareja == 'trueno_hecho_de_agua' and align == False and n_bands == 6 and es_huerfana == True
orphan_bands_trueno_hecho_de_agua_nb_heuristico,bandas_huerfanas,Bandas huerfanas del padre A de trueno_hecho_de_agua (sin alinear) al n_bands heuristico usado por baseline_v11 (n_bands=6).,3,bandas huerfanas de 6 (umbral -25 dB),bandas_huerfanas.csv,pareja == 'trueno_hecho_de_agua' and align == False and n_bands == 6
